TransactionID,TransactionAmt,FraudProbability,RiskTier,ActualFraud,HourOfDay
0.07005475,0.4768996,0.00421752,Clear,0.0,0.0
-0.604795,-0.38956755,0.013613349,Clear,0.0,3.0
0.38897452,-0.12107256,0.005440815,Clear,0.0,22.0
-0.15033609,-0.13389935,0.002252009,Clear,0.0,3.0
-0.35280794,0.4768996,0.003090347,Clear,0.0,17.0
-0.9408613,-0.12107256,0.009998248,Clear,0.0,14.0
0.46214113,-0.6743342,0.031088447,Clear,0.0,4.0
0.24901071,-0.46373075,0.0030292245,Clear,0.0,1.0
0.3228854,-0.12107256,0.011579213,Clear,0.0,14.0
-0.5243815,0.5874542,0.011411876,Clear,0.0,12.0
0.100722656,-0.2126924,0.0053268946,Clear,0.0,20.0
0.8236104,-0.49783778,0.24541607,Clear,0.0,6.0
0.27045318,0.5874542,0.06588604,Clear,0.0,12.0
-0.44540116,0.42828,0.009441305,Clear,0.0,2.0
0.3788987,-0.36539212,0.0049409852,Clear,0.0,23.0
-0.10666177,-0.24323235,0.0367051,Clear,0.0,19.0
0.8608442,-0.30431223,0.011503918,Clear,0.0,21.0
0.80792075,-0.5534205,0.029716238,Clear,0.0,18.0
-0.4056806,-0.12107256,0.019478215,Clear,0.0,23.0
-0.6526196,1.7601881,0.041749522,Clear,0.0,19.0
-0.023476938,-0.13389935,0.0066818567,Clear,0.0,1.0
0.14449862,-0.450623,0.05986788,Clear,0.0,3.0
-0.14296047,-0.10946738,0.06967041,Clear,0.0,22.0
0.572921,-0.3046787,0.012081983,Clear,0.0,6.0
-0.25995725,1.7601881,0.032502986,Clear,0.0,1.0
0.53220093,-0.12168336,0.001092177,Clear,0.0,18.0
0.28835183,3.2505374,0.078513056,Clear,0.0,1.0
-0.021508528,-0.57610554,0.004362117,Clear,0.0,5.0
0.94847405,-0.12107256,0.016030937,Clear,0.0,21.0
0.6263797,-0.19497924,0.014428535,Clear,0.0,13.0
0.84762436,-0.13389935,0.0067954394,Clear,0.0,17.0
-0.36920235,0.4768996,0.007843148,Clear,0.0,23.0
0.06977016,-0.40265086,0.002653278,Clear,0.0,0.0
-0.51649433,1.0661495,0.12881617,Clear,0.0,23.0
-0.344914,29.797813,0.0029698308,Clear,0.0,12.0
-0.2064341,-0.66467136,0.08639339,Clear,0.0,2.0
-0.23065469,0.4768996,0.0034633477,Clear,0.0,2.0
0.6357678,5.9258366,0.10361624,Clear,0.0,13.0
-0.47449368,1.9189959,0.009341644,Clear,0.0,2.0
0.27119514,1.9189959,0.010323266,Clear,0.0,15.0
0.42874253,-0.36539212,0.046962623,Clear,0.0,17.0
0.27857414,-0.64695823,0.032961078,Clear,0.0,5.0
-0.8137887,-0.40025654,0.26440144,Clear,0.0,21.0
-0.85394293,2.8835695,0.04931598,Clear,0.0,0.0
-0.030893205,-0.6174322,0.10583145,Clear,0.0,11.0
0.98564684,-0.5248107,0.0028801262,Clear,0.0,16.0
-0.71444327,2.2121794,0.011654581,Clear,0.0,19.0
-0.048879936,-0.5248107,0.0116253095,Clear,0.0,2.0
-0.63037753,-0.29209626,0.00894079,Clear,0.0,21.0
0.30389243,-0.13389935,0.0077882633,Clear,0.0,18.0
-0.20113192,0.5874542,0.022726318,Clear,0.0,16.0
0.3121252,0.4768996,0.011349397,Clear,0.0,14.0
-0.3301458,0.37978256,0.022573872,Clear,0.0,19.0
0.024998136,0.23258002,0.008160207,Clear,0.0,17.0
0.846879,-0.29221842,0.017695416,Clear,0.0,16.0
0.25813112,-0.13389935,0.012905126,Clear,0.0,22.0
0.11485049,0.99058145,0.02116099,Clear,0.0,19.0
0.49858212,-0.23101637,0.028505858,Clear,0.0,1.0
-0.754689,-0.7022233,0.9403631,Critical Risk,1.0,18.0
0.66559887,0.5874542,0.1261089,Clear,0.0,15.0
0.54882914,-0.52787685,0.008225662,Clear,0.0,15.0
0.7179498,0.4652944,0.03264275,Clear,0.0,19.0
-0.4812391,-0.7079282,0.9453724,Critical Risk,1.0,18.0
-0.6699762,-0.23101637,0.03489768,Clear,0.0,21.0
-0.2010811,-0.44030052,0.2246945,Clear,0.0,16.0
-0.45539907,-0.42647204,0.013466172,Clear,0.0,4.0
